class,precision,recall,f1-score,support
Arive-Dantu,1.0,0.97,0.9847715736040609,100
Basale,0.9252336448598131,0.99,0.9565217391304348,100
Betel,1.0,0.9375,0.967741935483871,96
Crape_Jasmine,0.9787234042553191,0.92,0.9484536082474226,100
Curry,0.9896907216494846,0.96,0.9746192893401016,100
Drumstick,0.9896907216494846,0.96,0.9746192893401016,100
Fenugreek,0.9859154929577465,0.9722222222222222,0.9790209790209791,72
Guava,1.0,0.89,0.9417989417989417,100
Hibiscus,0.8484848484848485,0.9767441860465116,0.9081081081081082,86
Indian_Beech,0.9705882352941176,0.99,0.9801980198019802,100
Indian_Mustard,1.0,1.0,1.0,68
Jackfruit,0.8990825688073395,0.98,0.937799043062201,100
Jamaica_Cherry-Gasagase,1.0,0.99,0.9949748743718593,100
Jamun,0.95,0.9743589743589743,0.9620253164556962,78
Jasmine,0.98989898989899,0.98,0.9849246231155779,100
Karanda,0.9772727272727273,0.86,0.9148936170212766,100
Lemon,0.5747126436781609,1.0,0.7299270072992701,100
Mango,0.8547008547008547,1.0,0.9216589861751152,100
Mexican_Mint,1.0,0.6145833333333334,0.7612903225806451,96
Mint,0.8928571428571429,1.0,0.9433962264150944,100
Neem,1.0,0.98,0.98989898989899,100
Oleander,0.956989247311828,0.89,0.9222797927461139,100
Parijata,0.9876543209876543,1.0,0.9937888198757764,80
Peepal,1.0,1.0,1.0,100
Pomegranate,0.9797979797979798,0.97,0.9748743718592965,100
Rasna,1.0,0.79,0.88268156424581,100
Rose_apple,0.8849557522123894,1.0,0.9389671361502347,100
Roxburgh_fig,1.0,0.97,0.9847715736040609,100
Sandalwood,0.9634146341463414,0.79,0.8681318681318682,100
Tulsi,1.0,0.86,0.9247311827956989,100
